orf,gene.x,Anno1,Growth1,gene.y,Anno2,Growth2,name.check,essenflag
YBL046W,YBL046W,verified1,growth1,YBL046W,verified2,growth2,TRUE,nonessential
YBL047C,YBL047C,verified1,growth1,YBL047C,verified2,growth2,TRUE,nonessential
YBL048W,YBL048W,verified1,growth1,YBL048W,verified2,growth2,TRUE,nonessential
YBL049W,YBL049W,verified1,growth1,YBL049W,verified2,growth2,TRUE,nonessential
YBL050W,SEC17,verified1,nogrowth1,SEC17,verified2,nogrowth2,TRUE,essential
YBL051C,YBL051C,verified1,growth1,YBL051C,verified2,growth2,TRUE,nonessential
YBL052C,SAS3,verified1,growth1,SAS3,verified2,growth2,TRUE,nonessential
YBL053W,YBL053W,verified1,growth1,YBL053W,verified2,growth2,TRUE,nonessential
YBL054W,YBL054W,verified1,growth1,YBL054W,verified2,growth2,TRUE,nonessential
YBL055C,YBL055C,verified1,growth1,YBL055C,verified2,growth2,TRUE,nonessential
YBL056W,PTC3,verified1,growth1,PTC3,verified2,growth2,TRUE,nonessential
YBL057C,YBL057C,verified1,growth1,YBL057C,verified2,growth2,TRUE,nonessential
YBL058W,SHP1,verified1,growth1,SHP1,verified2,growth2,TRUE,nonessential
YBL059W,YBL059W,verified1,growth1,YBL059W,verified2,growth2,TRUE,nonessential
YBL060W,YBL060W,verified1,growth1,YBL060W,verified2,growth2,TRUE,nonessential
YBL061C,SKT5,verified1,growth1,SKT5,verified2,growth2,TRUE,nonessential
YBL062W,YBL062W,verified1,growth1,YBL062W,verified2,growth2,TRUE,nonessential
YBL063W,KIP1,verified1,growth1,KIP1,verified2,growth2,TRUE,nonessential
YBL064C,YBL064C,verified1,growth1,YBL064C,verified2,growth2,TRUE,nonessential
YBL065W,YBL065W,verified1,growth1,YBL065W,verified2,growth2,TRUE,nonessential
YBL066C,SEF1,verified1,growth1,SEF1,verified2,growth2,TRUE,nonessential
YBL067C,UBP13,verified1,growth1,UBP13,verified2,growth2,TRUE,nonessential
YBL068W,PRS4,verified1,growth1,PRS4,verified2,growth2,TRUE,nonessential
YBL069W,AST1,verified1,growth1,AST1,verified2,growth2,TRUE,nonessential
YBL070C,YBL070C,verified1,growth1,YBL070C,verified2,growth2,TRUE,nonessential
YBL071C,YBL071C,verified1,growth1,YBL071C,verified2,growth2,TRUE,nonessential
YBL072C,RPS8A,verified1,growth1,RPS8A,verified2,growth2,TRUE,nonessential
YBL073W,YBL073W,verified1,nogrowth1,YBL073W,verified2,nogrowth2,TRUE,essential
YBL074C,aar2,verified1,nogrowth1,aar2,verified2,nogrowth2,TRUE,essential
YBL075C,SSA3,questionable1,growth1,SSA3,verified2,growth2,TRUE,nonessential
YBL076C,ils1,verified1,nogrowth1,ils1,verified2,nogrowth2,TRUE,essential
YBL077W,YBL077W,verified1,nogrowth1,YBL077W,verified2,nogrowth2,TRUE,essential
YBL078C,AUT7,verified1,growth1,AUT7,verified2,growth2,TRUE,nonessential
YBL079W,NUP170,verified1,growth1,NUP170,verified2,growth2,TRUE,nonessential
YBL080C,PET112,verified1,growth1,PET112,verified2,growth2,TRUE,nonessential
YBL081W,YBL081W,verified1,growth1,YBL081W,verified2,growth2,TRUE,nonessential
YBL082C,RHK1,verified1,growth1,RHK1,verified2,growth2,TRUE,nonessential
